HLS,lambda,trainError,testError
5000,0.003,3.0869737103146964,3.1353783442114618
5000,0.01,2.996282704412711,3.054023739889132
5000,0.03,3.002411531235364,3.060747636547183
5000,0.1,3.0965666762782034,3.1518249744525058
5000,0.3,3.0925666725755585,3.1420182136697448
5000,1,3.091415178594132,3.1397072966438215
5000,3,3.0916348899382866,3.1434528351417668
5000,10,3.0409096394070296,3.093394417480438
5000,30,2.9181380980248384,3.0157755920534206
250,0,3.5235732359860683,3.5234864824157532
1000,0,3.4929598634533283,3.4997742949414006
2500,0,3.2985291564501376,3.3264154511368633
5000,0,3.041542533982643,3.1146527764292316
